A,B,C,D,E
"2012/10/03","8746.87","8778.26","8806.75","8729.56"
"2012/10/04","8824.59","8783.13","8865.92","8738.31"
"2012/10/05","8863.30","8850.29","8880.23","8805.79"
"2012/10/09","8769.59","8822.39","8840.69","8765.55"
"2012/10/10","8596.23","8650.55","8660.68","8578.25"
"2012/10/11","8546.78","8514.63","8607.42","8514.63"
"2012/10/12","8534.12","8607.70","8620.18","8516.11"
"2012/10/15","8577.93","8517.77","8595.11","8488.14"
"2012/10/16","8701.31","8638.68","8707.95","8633.68"
"2012/10/17","8806.55","8777.39","8837.19","8758.70"
"2012/10/18","8982.86","8886.56","8992.36","8877.17"
"2012/10/19","9002.68","8944.03","9016.90","8940.38"
"2012/10/22","9010.71","8874.52","9031.55","8867.79"
"2012/10/23","9014.25","9066.03","9075.58","8970.50"
"2012/10/24","8954.30","8896.41","9043.80","8896.41"
"2012/10/25","9055.20","8952.13","9057.31","8941.85"
"2012/10/26","8933.06","9058.93","9075.59","8933.06"
"2012/10/29","8929.34","8958.79","8986.05","8909.37"
"2012/10/30","8841.98","8941.82","8995.81","8841.98"
"2012/10/31","8928.29","8911.08","8985.58","8905.44"
"2012/11/01","8946.87","8931.71","8976.08","8871.48"
"2012/11/02","9051.22","9049.22","9072.39","9031.43"
"2012/11/05","9007.44","9000.81","9040.18","8984.69"
"2012/11/06","8975.15","8989.58","8990.35","8957.49"
"2012/11/07","8972.89","9030.56","9032.32","8924.41"
"2012/11/08","8837.15","8868.42","8891.08","8811.41"
"2012/11/09","8757.60","8742.68","8779.24","8729.45"
"2012/11/12","8676.44","8701.28","8728.85","8676.44"
"2012/11/13","8661.05","8710.52","8723.46","8619.45"
"2012/11/14","8664.73","8660.27","8680.40","8653.49"
"2012/11/15","8829.72","8703.82","8829.72","8684.23"
"2012/11/16","9024.16","8898.33","9032.35","8898.33"
"2012/11/19","9153.20","9141.27","9183.46","9135.29"
"2012/11/20","9142.64","9198.42","9200.85","9129.43"
"2012/11/21","9222.52","9213.73","9248.98","9161.21"
"2012/11/22","9366.80","9336.32","9366.80","9304.72"
"2012/11/26","9388.94","9466.06","9487.94","9388.94"
"2012/11/27","9423.30","9371.13","9449.72","9370.59"
"2012/11/28","9308.35","9375.48","9407.62","9308.35"
"2012/11/29","9400.88","9370.29","9412.08","9350.40"
"2012/11/30","9446.01","9446.77","9492.91","9380.25"
"2012/12/03","9458.18","9484.20","9525.82","9453.48"
"2012/12/04","9432.46","9419.15","9457.19","9406.03"
"2012/12/05","9468.84","9380.37","9515.86","9376.97"
"2012/12/06","9545.16","9535.69","9565.43","9503.31"
"2012/12/07","9527.39","9547.14","9572.75","9522.13"
"2012/12/10","9533.75","9584.46","9584.46","9517.40"
"2012/12/11","9525.32","9510.60","9534.18","9487.95"
"2012/12/12","9581.46","9606.25","9606.25","9565.95"
"2012/12/13","9742.73","9681.20","9767.05","9672.47"
"2012/12/14","9737.56","9703.56","9775.75","9687.70"
"2012/12/17","9828.88","9895.68","9903.35","9826.30"
"2012/12/18","9923.01","9848.87","9967.24","9848.87"
"2012/12/19","10160.40","10025.40","10160.40","10016.98"
"2012/12/20","10039.33","10093.11","10147.68","10028.65"
"2012/12/21","9940.06","10145.58","10175.06","9924.42"
"2012/12/25","10080.12","10092.35","10119.35","10030.44"
"2012/12/26","10230.36","10131.22","10230.36","10107.34"
"2012/12/27","10322.98","10295.26","10376.39","10288.85"
"2012/12/28","10395.18","10406.36","10433.63","10374.85"
"2013/01/04","10688.11","10604.50","10734.23","10602.24"
"2013/01/07","10599.01","10743.69","10743.69","10589.70"
"2013/01/08","10508.06","10544.21","10602.12","10463.43"
"2013/01/09","10578.57","10405.67","10620.70","10398.61"
"2013/01/10","10652.64","10635.11","10686.12","10619.65"
"2013/01/11","10801.57","10786.14","10830.43","10748.06"
"2013/01/15","10879.08","10914.65","10952.31","10851.66"
"2013/01/16","10600.44","10806.41","10806.41","10591.30"
"2013/01/17","10609.64","10660.94","10694.85","10432.97"
"2013/01/18","10913.30","10791.97","10913.30","10787.12"
"2013/01/21","10747.74","10941.45","10941.45","10747.74"
"2013/01/22","10709.93","10765.10","10859.42","10615.20"
"2013/01/23","10486.99","10575.60","10663.09","10486.99"
"2013/01/24","10620.87","10441.11","10634.74","10441.11"
"2013/01/25","10926.65","10797.30","10926.65","10790.95"
"2013/01/28","10824.31","11002.86","11002.86","10824.31"
"2013/01/29","10866.72","10751.01","10937.63","10751.01"
"2013/01/30","11113.95","10913.97","11113.95","10905.64"
"2013/01/31","11138.66","11057.50","11145.38","11007.77"
"2013/02/01","11191.34","11193.72","11237.84","11142.26"
"2013/02/04","11260.35","11254.16","11285.49","11194.74"
"2013/02/05","11046.92","11105.24","11170.85","11046.92"
"2013/02/06","11463.75","11236.70","11498.42","11232.05"
"2013/02/07","11357.07","11406.32","11446.81","11295.62"
"2013/02/08","11153.16","11179.97","11299.71","11135.89"
"2013/02/12","11369.12","11346.72","11460.64","11343.44"
"2013/02/13","11251.41","11333.72","11365.27","11196.66"
"2013/02/14","11307.28","11273.40","11356.54","11243.49"
"2013/02/15","11173.83","11239.21","11261.58","11065.06"
"2013/02/18","11407.87","11318.22","11445.46","11308.83"
"2013/02/19","11372.34","11336.45","11412.86","11336.45"
"2013/02/20","11468.28","11485.65","11510.52","11440.10"
"2013/02/21","11309.13","11404.73","11442.11","11301.77"
"2013/02/22","11385.94","11238.75","11390.65","11175.67"
"2013/02/25","11662.52","11564.55","11662.52","11562.10"
"2013/02/26","11398.81","11449.66","11520.24","11374.83"
"2013/02/27","11253.97","11418.56","11419.62","11253.97"
"2013/02/28","11559.36","11396.73","11563.75","11392.56"
"2013/03/01","11606.38","11464.71","11648.63","11464.71"
"2013/03/04","11652.29","11695.45","11767.68","11613.59"
"2013/03/05","11683.45","11732.57","11779.42","11666.38"
"2013/03/06","11932.27","11811.06","11933.82","11803.09"
"2013/03/07","11968.08","12037.25","12069.60","11946.01"
"2013/03/08","12283.62","12066.50","12283.62","12065.09"
"2013/03/11","12349.05","12363.09","12403.95","12300.83"
"2013/03/12","12314.81","12433.60","12461.97","12314.81"
"2013/03/13","12239.66","12252.29","12339.45","12234.48"
"2013/03/14","12381.19","12332.16","12395.73","12248.65"
"2013/03/15","12560.95","12437.68","12560.95","12434.47"
"2013/03/18","12220.63","12365.44","12373.17","12220.63"
"2013/03/19","12468.23","12405.61","12491.16","12401.12"
"2013/03/21","12635.69","12592.00","12650.26","12586.06"
"2013/03/22","12338.53","12498.51","12522.05","12338.53"
"2013/03/25","12546.46","12507.61","12594.36","12480.42"
"2013/03/26","12471.62","12461.79","12540.12","12456.04"
"2013/03/27","12493.79","12476.58","12502.26","12442.39"
"2013/03/28","12335.96","12457.13","12462.86","12286.37"
"2013/03/29","12397.91","12405.53","12425.96","12319.75"
"2013/04/01","12135.02","12371.34","12384.83","12133.00"
"2013/04/02","12003.43","12051.57","12107.40","11805.78"
"2013/04/03","12362.20","12112.09","12362.20","12102.05"
"2013/04/04","12634.54","12188.22","12634.54","12075.97"
"2013/04/05","12833.64","12880.82","13225.62","12831.10"
"2013/04/08","13192.59","13082.61","13225.22","13080.29"
"2013/04/09","13192.35","13309.13","13331.39","13151.73"
"2013/04/10","13288.13","13177.31","13325.15","13177.31"
"2013/04/11","13549.16","13444.95","13549.16","13384.11"
"2013/04/12","13485.14","13568.25","13568.25","13402.86"
"2013/04/15","13275.66","13345.86","13408.29","13257.86"
"2013/04/16","13221.44","13023.91","13312.23","13004.46"
"2013/04/17","13382.89","13330.50","13397.50","13318.69"
"2013/04/18","13220.07","13272.22","13377.74","13200.85"
"2013/04/19","13316.48","13268.43","13338.75","13186.89"
"2013/04/22","13568.37","13537.17","13611.58","13529.44"
"2013/04/23","13529.65","13545.60","13585.35","13505.53"
"2013/04/24","13843.46","13687.28","13843.46","13686.78"
"2013/04/25","13926.08","13887.53","13974.26","13827.96"
"2013/04/26","13884.13","13978.98","13983.87","13852.20"
"2013/04/30","13860.86","13854.82","13897.06","13778.75"
"2013/05/01","13799.35","13837.72","13844.82","13782.00"
"2013/05/02","13694.04","13727.25","13780.48","13637.96"
"2013/05/07","14180.24","13960.04","14196.38","13951.81"
"2013/05/08","14285.69","14196.20","14421.38","14186.83"
"2013/05/09","14191.48","14366.95","14409.82","14191.48"
"2013/05/10","14607.54","14449.24","14636.81","14426.74"
"2013/05/13","14782.21","14759.50","14849.01","14727.70"
"2013/05/14","14758.42","14822.56","14839.79","14755.08"
"2013/05/15","15096.03","14962.34","15108.83","14956.38"
"2013/05/16","15037.24","15146.05","15155.72","14879.51"
"2013/05/17","15138.12","14926.42","15157.32","14902.30"
"2013/05/20","15360.81","15260.61","15381.74","15245.80"
"2013/05/21","15381.02","15264.79","15388.37","15264.42"
"2013/05/22","15627.26","15440.69","15706.63","15432.64"
"2013/05/23","14483.98","15739.98","15942.60","14483.98"
"2013/05/24","14612.45","14731.75","15007.50","13981.52"
"2013/05/27","14142.65","14373.82","14381.28","14027.42"
"2013/05/28","14311.98","13943.62","14399.78","13943.62"
"2013/05/29","14326.46","14492.55","14512.28","14243.49"
"2013/05/30","13589.03","14072.90","14098.16","13555.66"
"2013/05/31","13774.54","13804.23","13916.56","13681.39"
"2013/06/03","13261.82","13551.36","13562.87","13261.82"
"2013/06/04","13533.76","13186.60","13610.25","13060.94"
"2013/06/05","13014.87","13566.75","13711.42","13011.16"
"2013/06/06","12904.02","12925.29","13238.53","12862.02"
"2013/06/07","12877.53","12706.41","13106.20","12548.20"
"2013/06/10","13514.20","13141.85","13514.20","13141.37"
"2013/06/11","13317.62","13504.77","13584.31","13296.31"
"2013/06/12","13289.32","13087.66","13332.72","12994.08"
"2013/06/13","12445.38","13038.02","13050.11","12415.85"
"2013/06/14","12686.52","12668.90","12900.65","12629.31"
"2013/06/17","13033.12","12584.37","13033.12","12549.82"
"2013/06/18","13007.28","13015.15","13139.48","12919.03"
"2013/06/19","13245.22","13233.08","13296.62","13107.65"
"2013/06/20","13014.58","13101.85","13190.82","12966.41"
"2013/06/21","13230.13","12787.87","13330.35","12702.67"
"2013/06/24","13062.78","13417.54","13426.13","13026.23"
"2013/06/25","12969.34","13081.62","13234.89","12758.22"
"2013/06/26","12834.01","13152.75","13189.84","12826.51"
"2013/06/27","13213.55","12968.72","13213.55","12873.50"
"2013/06/28","13677.32","13383.92","13724.44","13354.70"
"2013/07/01","13852.50","13746.72","13862.71","13562.70"
"2013/07/02","14098.74","13969.15","14098.74","13898.54"
"2013/07/03","14055.56","14149.99","14164.77","13984.08"
"2013/07/04","14018.93","13970.27","14093.02","13962.30"
"2013/07/05","14309.97","14150.85","14309.97","14149.50"
"2013/07/08","14109.34","14491.07","14497.65","14109.34"
"2013/07/09","14472.90","14295.44","14472.90","14186.03"
"2013/07/10","14416.60","14464.82","14555.33","14287.69"
"2013/07/11","14472.58","14275.26","14496.67","14275.26"
"2013/07/12","14506.25","14475.17","14574.17","14417.30"
"2013/07/16","14599.12","14594.88","14638.80","14550.89"
"2013/07/17","14615.04","14491.80","14615.04","14460.56"
"2013/07/18","14808.50","14645.25","14827.73","14645.25"
"2013/07/19","14589.91","14909.76","14953.29","14413.28"
"2013/07/22","14658.04","14770.02","14770.02","14514.29"
"2013/07/23","14778.51","14555.36","14820.18","14549.06"
"2013/07/24","14731.28","14719.64","14751.87","14630.68"
"2013/07/25","14562.93","14747.21","14748.77","14533.21"
"2013/07/26","14129.98","14339.39","14376.01","14114.52"
"2013/07/29","13661.13","13899.27","13953.85","13661.13"
"2013/07/30","13869.82","13634.20","13909.45","13613.78"
"2013/07/31","13668.32","13733.55","13836.03","13644.21"
"2013/08/01","14005.77","13674.50","14005.77","13645.61"
"2013/08/02","14466.16","14178.66","14466.16","14146.92"
"2013/08/05","14258.04","14318.21","14370.98","14225.50"
"2013/08/06","14401.06","14237.10","14401.06","14031.61"
"2013/08/07","13824.94","14155.95","14164.70","13824.94"
"2013/08/08","13605.56","13779.47","14031.14","13556.65"
"2013/08/09","13615.19","13673.49","13754.96","13527.81"
"2013/08/12","13519.43","13469.70","13658.86","13430.64"
"2013/08/13","13867.00","13696.36","13867.00","13689.49"
"2013/08/14","14050.16","13936.74","14050.16","13747.18"
"2013/08/15","13752.94","13845.64","13981.16","13711.12"
"2013/08/16","13650.11","13532.61","13739.52","13532.61"
"2013/08/19","13758.13","13669.74","13758.13","13589.78"
"2013/08/20","13396.38","13632.96","13730.09","13383.18"
"2013/08/21","13424.33","13431.28","13499.99","13250.36"
"2013/08/22","13365.17","13314.05","13447.33","13238.73"
"2013/08/23","13660.55","13583.76","13774.66","13575.40"
"2013/08/26","13636.28","13719.56","13741.49","13586.84"
"2013/08/27","13542.37","13551.75","13678.79","13517.10"
"2013/08/28","13338.46","13285.03","13392.57","13188.14"
"2013/08/29","13459.71","13382.95","13463.14","13364.82"
"2013/08/30","13388.86","13573.24","13615.98","13335.91"
"2013/09/02","13572.92","13438.07","13613.48","13407.53"
"2013/09/03","13978.44","13748.68","13978.44","13748.68"
"2013/09/04","14053.87","13875.17","14056.88","13843.61"
"2013/09/05","14064.82","14140.20","14156.50","13981.52"
"2013/09/06","13860.81","14088.41","14099.13","13834.52"
"2013/09/09","14205.23","14141.67","14251.46","14117.68"
"2013/09/10","14423.36","14318.72","14441.81","14296.78"
"2013/09/11","14425.07","14511.74","14561.46","14422.72"
"2013/09/12","14387.27","14397.90","14455.37","14321.57"
"2013/09/13","14404.67","14316.70","14439.93","14233.12"
"2013/09/17","14311.67","14456.99","14474.53","14311.67"
"2013/09/18","14505.36","14411.55","14625.97","14396.41"
"2013/09/19","14766.18","14680.40","14766.18","14581.79"
"2013/09/20","14742.42","14801.64","14816.65","14702.25"
"2013/09/24","14732.61","14626.04","14767.72","14607.27"
"2013/09/25","14620.53","14713.03","14737.98","14620.53"
"2013/09/26","14799.12","14553.06","14799.12","14410.52"
"2013/09/27","14760.07","14803.99","14817.50","14699.21"
"2013/09/30","14455.80","14530.62","14619.24","14425.82"
"2013/10/01","14484.72","14517.98","14642.97","14471.70"
"2013/10/02","14170.49","14492.47","14569.20","14114.54"
"2013/10/03","14157.25","14140.11","14219.89","14082.31"
"2013/10/04","14024.31","14029.73","14149.77","13944.27"
"2013/10/07","13853.32","14057.79","14073.23","13841.93"
"2013/10/08","13894.61","13794.74","13929.64","13748.94"
"2013/10/09","14037.84","13789.89","14037.84","13751.85"
"2013/10/10","14194.71","14097.62","14200.31","14077.03"
"2013/10/11","14404.74","14376.89","14447.87","14320.30"
"2013/10/15","14441.54","14510.27","14510.37","14415.76"
"2013/10/16","14467.14","14433.64","14493.67","14417.61"
"2013/10/17","14586.51","14640.08","14664.22","14492.67"
"2013/10/18","14561.54","14589.60","14610.09","14503.09"
"2013/10/21","14693.57","14624.03","14727.85","14624.03"
"2013/10/22","14713.25","14677.08","14747.77","14641.78"
"2013/10/23","14426.05","14784.41","14799.28","14426.05"
"2013/10/24","14486.41","14344.74","14499.52","14273.71"
"2013/10/25","14088.19","14439.14","14442.12","14088.19"
"2013/10/28","14396.04","14261.65","14400.32","14194.42"
"2013/10/29","14325.98","14288.72","14395.96","14224.59"
"2013/10/30","14502.35","14464.67","14526.88","14425.58"
"2013/10/31","14327.94","14474.01","14516.08","14324.17"
"2013/11/01","14201.57","14403.07","14411.05","14126.41"
"2013/11/05","14225.37","14319.75","14323.24","14141.82"
"2013/11/06","14337.31","14155.34","14407.69","14130.86"
"2013/11/07","14228.44","14355.56","14371.56","14222.03"
"2013/11/08","14086.80","14026.17","14122.28","14026.17"
"2013/11/11","14269.84","14271.48","14304.29","14208.13"
"2013/11/12","14588.68","14289.87","14588.68","14278.21"
"2013/11/13","14567.16","14527.97","14599.53","14490.92"
"2013/11/14","14876.41","14665.75","14966.43","14665.75"
"2013/11/15","15165.92","15034.33","15203.11","14994.70"
"2013/11/18","15164.30","15253.24","15273.61","15106.82"
"2013/11/19","15126.56","15096.63","15163.06","15020.33"
"2013/11/20","15076.08","15176.35","15209.67","15069.98"
"2013/11/21","15365.60","15176.65","15377.00","15168.47"
"2013/11/22","15381.72","15513.45","15579.39","15307.44"
"2013/11/25","15619.13","15504.78","15619.13","15469.87"
"2013/11/26","15515.24","15501.95","15577.97","15460.97"
"2013/11/27","15449.63","15414.52","15512.76","15414.52"
"2013/11/28","15727.12","15622.19","15729.09","15605.73"
"2013/11/29","15661.87","15661.43","15727.96","15507.17"
"2013/12/02","15655.07","15659.74","15703.02","15579.54"
"2013/12/03","15749.66","15747.54","15794.15","15661.90"
"2013/12/04","15407.94","15520.20","15579.36","15326.06"
"2013/12/05","15177.49","15354.53","15430.20","15139.12"
"2013/12/06","15299.86","15112.54","15327.37","15112.54"
"2013/12/09","15650.21","15556.60","15650.21","15547.29"
"2013/12/10","15611.31","15633.97","15633.97","15562.06"
"2013/12/11","15515.06","15509.93","15562.30","15386.11"
"2013/12/12","15341.82","15377.32","15392.66","15255.36"
"2013/12/13","15403.11","15316.89","15532.94","15251.45"
"2013/12/16","15152.91","15408.35","15408.35","15146.13"
"2013/12/17","15278.63","15290.22","15322.13","15248.42"
"2013/12/18","15587.80","15273.24","15588.42","15268.18"
"2013/12/19","15859.22","15809.43","15891.82","15798.85"
"2013/12/20","15870.42","15790.69","15870.42","15755.36"
"2013/12/24","15889.33","15955.90","16029.65","15849.00"
"2013/12/25","16009.99","15861.13","16010.54","15853.51"
"2013/12/26","16174.44","16087.07","16186.04","16082.28"
"2013/12/27","16178.94","16229.43","16232.69","16056.73"
"2013/12/30","16291.31","16269.22","16320.22","16182.71"
"2014/01/06","15908.88","16147.54","16164.01","15864.44"
"2014/01/07","15814.37","15835.41","15935.37","15784.25"
"2014/01/08","16121.45","15943.68","16121.45","15906.57"
"2014/01/09","15880.33","16002.88","16004.56","15838.44"
"2014/01/10","15912.06","15785.15","15922.14","15754.70"
"2014/01/14","15422.40","15657.20","15661.71","15383.69"
"2014/01/15","15808.73","15649.07","15808.73","15636.57"
"2014/01/16","15747.20","15845.15","15941.08","15710.14"
"2014/01/17","15734.46","15695.46","15783.37","15621.80"
"2014/01/20","15641.68","15724.14","15727.26","15574.23"
"2014/01/21","15795.96","15710.89","15894.68","15705.84"
"2014/01/22","15820.96","15749.01","15870.53","15631.41"
"2014/01/23","15695.89","15900.63","15958.58","15690.45"
"2014/01/24","15391.56","15473.57","15485.02","15288.32"
"2014/01/27","15005.73","15091.45","15109.68","14933.55"
"2014/01/28","14980.16","15038.64","15088.12","14952.83"
"2014/01/29","15383.91","15164.34","15383.91","15159.92"
"2014/01/30","15007.06","15112.70","15112.70","14853.83"
"2014/01/31","14914.53","15132.23","15143.88","14764.57"
"2014/02/03","14619.13","14788.56","14846.93","14615.05"
"2014/02/04","14008.47","14353.33","14355.92","14008.47"
"2014/02/05","14180.38","14213.10","14245.06","13995.86"
"2014/02/06","14155.12","14233.42","14308.07","14155.12"
"2014/02/07","14462.41","14387.11","14471.95","14356.59"
"2014/02/10","14718.34","14647.83","14725.92","14568.30"
"2014/02/12","14800.06","14821.73","14874.79","14769.04"
"2014/02/13","14534.74","14785.84","14787.62","14488.32"
"2014/02/14","14313.03","14538.20","14678.71","14243.17"
"2014/02/17","14393.11","14343.73","14427.95","14214.60"
"2014/02/18","14843.24","14514.47","14900.24","14469.49"
"2014/02/19","14766.53","14729.48","14805.66","14679.19"
"2014/02/20","14449.18","14701.14","14731.48","14428.73"
"2014/02/21","14865.67","14618.61","14888.81","14618.61"
"2014/02/24","14837.68","14803.64","14982.53","14658.14"
"2014/02/25","15051.60","15002.51","15094.54","14957.49"
"2014/02/26","14970.97","14896.49","15084.53","14896.49"
"2014/02/27","14923.11","14939.87","15015.01","14844.37"
"2014/02/28","14841.07","14929.55","14943.65","14735.52"
"2014/03/03","14652.23","14666.93","14684.70","14443.10"
"2014/03/04","14721.48","14553.95","14750.09","14546.34"
"2014/03/05","14897.63","14905.95","14992.19","14897.63"
"2014/03/06","15134.75","14933.76","15203.12","14871.56"
"2014/03/07","15274.07","15280.76","15312.60","15145.59"
"2014/03/10","15120.14","15197.53","15266.12","15088.11"
"2014/03/11","15224.11","15179.47","15256.03","15124.36"
"2014/03/12","14830.39","15003.80","15020.14","14828.18"
"2014/03/13","14815.98","14847.72","14919.84","14790.48"
"2014/03/14","14327.66","14526.28","14539.60","14280.75"
"2014/03/17","14277.67","14254.32","14359.16","14203.21"
"2014/03/18","14411.27","14491.41","14533.25","14399.72"
"2014/03/19","14462.52","14495.73","14663.54","14302.37"
"2014/03/20","14224.23","14548.76","14548.76","14207.83"
"2014/03/24","14475.30","14297.58","14514.28","14287.28"
"2014/03/25","14423.19","14401.69","14531.79","14312.08"
"2014/03/26","14477.16","14521.00","14569.90","14401.42"
"2014/03/27","14622.89","14305.67","14659.85","14227.81"
"2014/03/28","14696.03","14576.25","14713.45","14520.57"
"2014/03/31","14827.83","14839.54","14843.67","14718.01"
"2014/04/01","14791.99","14870.51","14870.51","14751.29"
"2014/04/02","14946.32","14897.88","15069.61","14893.17"
"2014/04/03","15071.88","15009.18","15164.39","14976.36"
"2014/04/04","15063.77","15005.54","15098.38","15000.69"
"2014/04/07","14808.85","14880.82","14895.58","14764.37"
"2014/04/08","14606.88","14715.80","14740.10","14605.31"
"2014/04/09","14299.69","14436.05","14502.02","14279.34"
"2014/04/10","14300.12","14484.54","14513.14","14234.45"
"2014/04/11","13960.05","14027.80","14065.97","13885.11"
"2014/04/14","13910.16","13887.23","14008.29","13885.22"
"2014/04/15","13996.81","14068.75","14096.86","13969.17"
"2014/04/16","14417.68","14126.87","14420.30","14125.59"
"2014/04/17","14417.53","14395.95","14500.66","14351.85"
"2014/04/18","14516.27","14489.37","14536.67","14442.74"
"2014/04/21","14512.38","14549.45","14649.50","14503.17"
"2014/04/22","14388.77","14586.29","14604.30","14388.77"
"2014/04/23","14546.27","14480.41","14546.27","14459.29"
"2014/04/24","14404.99","14563.25","14563.25","14367.13"
"2014/04/25","14429.26","14369.72","14554.32","14327.60"
"2014/04/28","14288.23","14289.82","14324.03","14224.47"
"2014/04/30","14304.11","14393.51","14421.22","14275.69"
"2014/05/01","14485.13","14341.09","14493.03","14341.09"
"2014/05/02","14457.51","14454.44","14473.75","14405.77"
"2014/05/07","14033.45","14296.25","14299.13","14033.45"
"2014/05/08","14163.78","14136.41","14254.44","14108.16"
"2014/05/09","14199.59","14101.98","14266.29","14091.20"
"2014/05/12","14149.52","14173.49","14234.49","14130.30"
"2014/05/13","14425.44","14367.94","14464.01","14359.74"
"2014/05/14","14405.76","14385.60","14419.65","14349.87"
"2014/05/15","14298.21","14280.51","14306.36","14190.27"
"2014/05/16","14096.59","14087.76","14108.44","14016.49"
"2014/05/19","14006.44","14130.09","14150.50","13991.80"
"2014/05/20","14075.25","14088.45","14144.04","14038.06"
"2014/05/21","14042.17","13969.71","14054.24","13964.43"
"2014/05/22","14337.79","14188.28","14369.02","14147.55"
"2014/05/23","14462.17","14411.10","14528.04","14404.80"
"2014/05/26","14602.52","14592.60","14602.52","14531.32"
"2014/05/27","14636.52","14589.79","14744.16","14588.68"
"2014/05/28","14670.95","14646.93","14717.29","14608.54"
"2014/05/29","14681.72","14585.64","14714.95","14574.02"
"2014/05/30","14632.38","14707.66","14741.10","14591.62"
"2014/06/02","14935.92","14777.51","14963.91","14777.51"
"2014/06/03","15034.25","15089.04","15091.49","15026.01"
"2014/06/04","15067.96","15067.41","15071.78","14985.21"
"2014/06/05","15079.37","15112.59","15141.14","15016.81"
"2014/06/06","15077.24","15138.75","15144.34","15042.59"
"2014/06/09","15124.00","15204.31","15206.57","15116.03"
"2014/06/10","14994.80","15130.74","15184.77","14966.80"
"2014/06/11","15069.48","15000.13","15075.72","14998.63"
"2014/06/12","14973.53","14942.15","14992.96","14862.08"
